Compte_key_Payeur,client_total_montant,client_moy_montant_cheque,client_max_montant_cheque,client_min_montant_cheque,client_freq_transactions,client_nb_operations_distinctes,client_recence,client_nb_paiements_fractionnes_records,client_score_fragmentation,Segment,pca1,pca2,Cluster_Hc_client,Niveau_Risque_hc_client,Cluster_Kmeans_client,Niveau_Risque_Kmeans_client
1672180,450.0,150.0,150.0,150.0,3,1,671,1,3.0,Particulier,-0.9300240096607286,-0.6743045209063953,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672182,900.0,300.0,300.0,300.0,3,1,517,1,3.0,Particulier,-0.875407494907089,-0.7253011259019392,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672202,3000.0,1000.0,1000.0,1000.0,3,1,645,1,3.0,Particulier,-0.620530426056771,-0.9632852825478105,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672208,3218.0,101.0,176.0,55.0,35,6,0,6,5.833333333333333,Particulier,0.6004822329262959,1.2215743355892488,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672213,840.0,140.0,200.0,80.0,6,2,543,2,3.0,Particulier,-0.6958471243676779,-0.3794901782206954,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672245,445.4,45.45,50.0,40.9,10,2,504,2,5.0,Particulier,-0.6097635343899125,-0.18717889426382228,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672251,3000.0,600.0,600.0,600.0,5,1,519,1,5.0,Particulier,-0.6676407581141101,-0.7029093201143995,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672252,1998.0,155.66666666666666,257.0,40.0,12,3,307,3,4.0,Particulier,-0.3728864097598552,0.006333328437401701,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672257,4057.5,190.5,280.0,100.0,20,5,0,5,4.0,Particulier,0.15938413591121559,0.6034660946028,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672263,510.0,170.0,170.0,170.0,3,1,36,1,3.0,Particulier,-0.9227418076935767,-0.6811040682391345,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672274,2947.982,181.36,249.517,113.203,14,2,162,2,7.0,Particulier,-0.42561273476611966,-0.07009404048527125,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672397,1582.3000000000002,214.25,296.8,131.7,7,2,113,2,3.5,Particulier,-0.6353323465291877,-0.3635417335326975,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672508,8054.0,143.85714285714286,1000.0,40.0,90,14,56,14,6.428571428571429,Particulier,3.1020052329745607,4.054065366953001,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672610,4625.0,328.3333333333333,685.0,150.0,13,3,28,3,4.333333333333333,Particulier,-0.25171318770411283,-0.03384920833828951,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672612,510.0,85.0,90.0,80.0,6,2,256,2,3.0,Particulier,-0.7158600320550095,-0.3635392528988185,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672655,12756.0,150.38888888888889,630.0,40.0,85,18,0,18,4.722222222222222,Particulier,3.7361370350187313,4.840852407854532,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672660,3920.0,240.0,280.0,200.0,16,3,190,3,5.333333333333333,Particulier,-0.22569885814268553,0.10308793790862546,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672670,237.0,79.0,79.0,79.0,3,1,211,1,3.0,Particulier,-0.9558758266441181,-0.6501661278751711,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672707,360.0,90.0,90.0,90.0,4,1,629,1,4.0,Particulier,-0.906516526022174,-0.5909344523067169,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672724,1325.0,265.0,265.0,265.0,5,1,0,1,5.0,Particulier,-0.7947579390029295,-0.5879936169240797,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672770,1486.0,371.5,371.5,371.5,4,1,341,1,4.0,Particulier,-0.8018598409914726,-0.6870680135982943,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672779,4400.0,375.0,650.0,100.0,11,2,336,2,5.5,Particulier,-0.44328744716808927,-0.24824197216145444,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672835,3300.0,550.0,600.0,500.0,6,2,564,2,3.0,Particulier,-0.5368927645861366,-0.5213048913743582,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672909,2375.0,258.3333333333333,500.0,50.0,10,3,6,3,3.3333333333333335,Particulier,-0.38283904360532667,-0.09393678273274063,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672922,15485.0,482.5,700.0,170.0,28,5,22,6,5.6,Particulier,0.5951330944113068,0.8403539918310048,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672925,835.029,139.17149999999998,139.172,139.171,6,2,579,2,3.0,Particulier,-0.6947725516472286,-0.38247722866078515,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672932,2250.0,212.5,325.0,100.0,9,2,137,2,4.5,Particulier,-0.5714671496634592,-0.28083034462623424,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1672935,24311.6,599.6999999999999,2000.0,47.9,42,11,4,12,3.8181818181818183,Particulier,2.0898508524245383,2.3066885084631976,0,Client Cluster HC 1,0,Client Cluster KMeans 1
